"name","handedness","height","weight","avg","HR"
"Denny Doyle","L",69,175,0.25,16
"Tommy McCraw","L",72,183,0.246,75
"Ivan DeJesus","R",71,175,0.254,21
"Wayne Garrett","L",71,175,0.239,61
"Pat Putnam","L",72,205,0.255,63
"Kurt Bevacqua","R",72,180,0.236,27
"Walt Bond","L",79,228,0.256,41
"Byron Browne","R",74,190,0.236,30
"Steve Lombardozzi","R",72,175,0.233,20
"Joe Azcue","R",72,190,0.252,50
"Elliott Maddox","R",71,180,0.261,18
"Omar Moreno","L",74,180,0.252,37
"John Stearns","R",72,185,0.26,46
"Larry Brown","R",70,160,0.233,47
"Tom Brookens","R",70,165,0.246,71
"Gary Thomasson","L",73,180,0.249,61
"Tony Scott","B",72,164,0.249,17
"Ed Spiezio","R",71,180,0.238,39
"Ken Boswell","L",72,170,0.248,31
"Dick Howser","R",68,155,0.248,16
"Willie Norwood","R",72,185,0.242,18
"Benny Ayala","R",73,185,0.251,38
"Jack Brohamer","L",70,165,0.245,30
"Eddie Milner","L",71,173,0.253,42
"Johnny Jeter","R",73,180,0.244,18
"Darryl Motley","R",69,196,0.243,44
"Johnny Oates","L",71,188,0.25,14
"Mike Phillips","L",72,170,0.24,11
"Chico Salmon","R",70,160,0.249,31
"Andy Etchebarren","R",73,190,0.235,49
"Ken Berry","R",72,175,0.255,58
"Jake Gibbs","L",72,180,0.233,25
"Garry Hancock","L",72,175,0.247,12
"Chuck Hiller","L",71,170,0.243,20
"Bucky Dent","R",69,170,0.247,40
"Billy Conigliaro","R",72,180,0.256,40
"Billy Cowan","R",72,170,0.236,40
"Chuck Schilling","R",70,160,0.239,23
"Dave Roberts","R",75,215,0.239,49
"Jim Lefebvre","B",72,180,0.251,74
"Charlie Spikes","R",75,215,0.246,65
"Vern Fuller","R",73,170,0.232,14
"Terry Crowley","L",72,180,0.25,42
"Horace Clarke","B",69,170,0.256,27
"Lou Clinton","R",73,185,0.247,65
"Tim Harkness","L",74,182,0.235,14
"Rick Bosetti","R",71,185,0.25,17
"Jerry White","B",70,164,0.253,21
"Angel Mangual","R",70,178,0.245,22
"Mike Hershberger","R",70,175,0.252,26
"Willie Smith","L",72,182,0.248,46
"Paul Householder","B",72,180,0.236,29
"Andres Thomas","R",73,170,0.234,42
"Mike de la Hoz","R",71,175,0.251,25
"Larry Stahl","L",72,175,0.232,36
"George Mitterwald","R",74,195,0.236,76
"Mike Tyson","R",69,170,0.241,27
"Duane Josephson","R",72,190,0.258,23
"Glenn Hubbard","R",69,150,0.244,70
"Roger Freed","R",72,190,0.245,22
"Rick Manning","L",73,180,0.257,56
"Cesar Geronimo","L",72,165,0.258,51
"Dave Engle","R",75,210,0.262,31
"Tony Solaita","L",72,210,0.255,50
"U L Washington","B",71,175,0.251,27
"Joe Foy","R",72,215,0.248,58
"Ed Goodson","L",75,180,0.26,30
"Mickey Klutts","R",71,170,0.241,14
"Adolfo Phillips","R",73,175,0.247,59
"Coco Laboy","R",70,165,0.233,28
"Ted Kubiak","B",72,175,0.231,13
"Bobby Knoop","R",73,170,0.236,56
"Bobby Brown","B",74,190,0.245,26
"Tom Hutton","L",71,180,0.248,22
"Ron Hodges","L",73,185,0.24,19
"Gary Woods","R",74,185,0.243,13
"Bob Montgomery","R",73,195,0.258,23
"Craig Reynolds","L",73,175,0.256,42
"Chris Cannizzaro","R",72,190,0.235,18
"Dave Chalk","R",70,175,0.252,15
"Danny Thompson","R",72,183,0.248,15
"Bernie Allen","L",72,175,0.239,73
"Bruce Bochy","R",75,205,0.239,26
"Ken Reitz","R",72,180,0.26,68
"Gene Alley","R",70,160,0.254,55
"Ted Sizemore","R",70,165,0.262,23
"Larvell Blanks","R",68,167,0.253,20
"Danny Goodwin","L",73,195,0.236,13
"Derrel Thomas","B",72,160,0.249,43
"Art Howe","R",74,190,0.26,43
